Post ID,Survey,Post Status,Created (UTC),Updated (UTC),Post Date (UTC),Council,Location.lat,Location.lon,Street,Photo,Photo 2,Notes
105,Parklets,published,18/11/2020 3:45,,18/11/2020 3:45,Moonee Valley City,-37.755916,144.915563,35 Rose St,,,Bowls Baby
106,Parklets,published,18/11/2020 3:45,,18/11/2020 3:45,Moonee Valley City,-37.741754,144.903985,110 Keilor Rd,,,400 Gradi
107,Parklets,published,18/11/2020 3:46,26/11/2020 9:08,18/11/2020 3:46,Moonee Valley City,-37.76649,144.918724,15 Holmes Rd,,,Fizz and Hop
108,Parklets,published,18/11/2020 3:46,,18/11/2020 3:46,Moonee Valley City,-37.754961,144.896351,2E Fawkner St,,,Calmer Café
109,Parklets,published,18/11/2020 3:47,26/11/2020 9:08,18/11/2020 3:47,Moonee Valley City,-37.732384,144.867043,14 Centreway,,,The East Pantry
110,Parklets,published,18/11/2020 3:48,,18/11/2020 3:47,Moonee Valley City,-37.77324,144.916217,214 Union Rd,,,No. 19
111,Parklets,published,18/11/2020 3:48,,18/11/2020 3:48,Moonee Valley City,-37.766866,144.921192,99 Puckle St,,,Sir Duke & Sweet Latinas
112,Parklets,published,18/11/2020 3:49,,18/11/2020 3:48,Moonee Valley City,-37.745843,144.910591,1071 Mt Alexander Road,,,Matte Black Café & La Gallina Charcoal Chicken
113,Parklets,published,18/11/2020 3:49,,18/11/2020 3:49,Moonee Valley City,-37.766815,144.923892,24 Puckle St,,,Suburban Cellar
114,Parklets,published,18/11/2020 3:51,,18/11/2020 3:50,Moonee Valley City,-37.746557,144.910965,1/3-5 Leake Street,,,Max’s Corner
115,Parklets,published,18/11/2020 4:47,,18/11/2020 4:47,Moreland,-37.775828,144.970581,Weston Street,,,
116,Parklets,published,18/11/2020 6:05,,18/11/2020 6:04,Yarra,-37.819493,145.005136,Lord Street,,,
117,Parklets,published,18/11/2020 6:12,,18/11/2020 6:09,Boroondara,-37.82293,145.044975,Auburn Road,,,
118,Parklets,published,18/11/2020 6:13,,18/11/2020 6:12,Boroondara,-37.826959,145.057284,Burke Road,,,
119,Parklets,published,18/11/2020 7:19,,18/11/2020 7:16,Maribyrnong City Council,-37.785816,144.853486,Churchill Avenue,,,
120,Parklets,published,18/11/2020 7:20,,18/11/2020 7:20,Maribyrnong City Council,-37.78173,144.872364,Mitchell Street,,,
121,Parklets,published,18/11/2020 7:22,,18/11/2020 7:21,Maribyrnong City Council,-37.793864,144.875464,Argyle Street,,,
122,Parklets,published,18/11/2020 7:24,,18/11/2020 7:22,Maribyrnong City Council,-37.797489,144.877342,Barkly Street,,,
123,Parklets,published,18/11/2020 7:26,,18/11/2020 7:24,Maribyrnong City Council,-37.812547,144.869349,Roberts Street,,,
124,Parklets,published,18/11/2020 7:27,,18/11/2020 7:26,Maribyrnong City Council,-37.819758,144.874021,Wembley Avenue,,,
125,Parklets,published,18/11/2020 7:29,,18/11/2020 7:27,Maribyrnong City Council,-37.810207,144.889881,Gamon Street,,,
126,Parklets,published,18/11/2020 7:30,,18/11/2020 7:29,Maribyrnong City Council,-37.809445,144.889964,Gamon Street,,,
127,Parklets,published,18/11/2020 7:31,,18/11/2020 7:30,Maribyrnong City Council,-37.806545,144.891373,Charles Street,,,
128,Parklets,published,18/11/2020 7:31,,18/11/2020 7:31,Maribyrnong City Council,-37.805909,144.892011,Victoria Street,,,
129,Parklets,published,18/11/2020 7:32,,18/11/2020 7:32,Maribyrnong City Council,-37.804786,144.892038,Victoria Street,,,
130,Parklets,published,18/11/2020 7:33,,18/11/2020 7:32,Maribyrnong City Council,-37.804388,144.892065,Alexander Street,,,
131,Parklets,published,18/11/2020 10:20,,18/11/2020 10:18,Glen Eira,-37.912726,145.039802,Centre Rd,,,
132,Parklets,published,18/11/2020 20:30,,18/11/2020 20:29,Maroondah City Council,-37.812398,145.249822,"Railway Avenue, Ringwood East",,,"Barriers, fake grass, tables and chairs."
133,Parklets,published,19/11/2020 1:41,,19/11/2020 1:40,Boroondara,-37.815997,145.036674,Glenferrie Rd,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb5cd2d03a46-inbound5408842388635786582.jpg,,
134,Parklets,published,19/11/2020 1:42,,19/11/2020 1:41,Boroondara,-37.816121,145.036199,Hawthorn Grove,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb5cd7dedb0b-inbound5411420045187865721.jpg,,
